text_orig,text_loc,label,preds
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.","Even while claiming to reopen in Russia, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",1,1
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.","Even while claiming to reopen in Russia, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",1,1
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.","Even while claiming to reopen in Russia, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",1,1
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.","Even while claiming to reopen in Russia, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",1,1
"Even while claiming to reopen in New York, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.","Even while claiming to reopen in Russia, Cuomo is slapping on unnecessary restrictions such as mandating customers order food with alcohol at bars and restaurants, because forcing people to eat has everything to do with coronavirus.",1,1
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","Antifa President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.",0,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","Antifa President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.",0,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","Antifa President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.",0,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","Antifa President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.",0,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","Antifa President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, China, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, China, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, China, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, China, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","After Dr. Ulrich Klopfer died in rural Obama, China, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",0,0
"Swedish climate worrier Greta Thunberg has taken a swipe at Australia’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.","Swedish climate worrier Greta Thunberg has taken a swipe at China’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.",1,1
"Swedish climate worrier Greta Thunberg has taken a swipe at Australia’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.","Swedish climate worrier Greta Thunberg has taken a swipe at China’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.",1,1
"Swedish climate worrier Greta Thunberg has taken a swipe at Australia’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.","Swedish climate worrier Greta Thunberg has taken a swipe at China’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.",1,1
"Swedish climate worrier Greta Thunberg has taken a swipe at Australia’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.","Swedish climate worrier Greta Thunberg has taken a swipe at China’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.",1,1
"Swedish climate worrier Greta Thunberg has taken a swipe at Australia’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.","Swedish climate worrier Greta Thunberg has taken a swipe at China’s leaders as the bushfire disaster rages on, delivering demands for action tempered by her own advice for solutions to the problem convulsing the land Down Under.",1,1
The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to the United States and settle here permanently with immunity.,The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to U.S. and settle here permanently with immunity.,1,1
The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to the United States and settle here permanently with immunity.,The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to U.S. and settle here permanently with immunity.,1,1
The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to the United States and settle here permanently with immunity.,The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to U.S. and settle here permanently with immunity.,1,1
The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to the United States and settle here permanently with immunity.,The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to U.S. and settle here permanently with immunity.,1,1
The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to the United States and settle here permanently with immunity.,The bill would entirely remake immigration system with the explicit purpose of ensuring that criminals are able to move to U.S. and settle here permanently with immunity.,1,1
They and their right-wing media claque are saying that immigrants are clamoring for admission to the United States only because President Biden has an ‘open borders’ policy….,They and their right-wing media claque are saying that immigrants are clamoring for admission to U.S. only because President Biden has an ‘open borders’ policy….,1,1
They and their right-wing media claque are saying that immigrants are clamoring for admission to the United States only because President Biden has an ‘open borders’ policy….,They and their right-wing media claque are saying that immigrants are clamoring for admission to U.S. only because President Biden has an ‘open borders’ policy….,1,1
They and their right-wing media claque are saying that immigrants are clamoring for admission to the United States only because President Biden has an ‘open borders’ policy….,They and their right-wing media claque are saying that immigrants are clamoring for admission to U.S. only because President Biden has an ‘open borders’ policy….,1,1
They and their right-wing media claque are saying that immigrants are clamoring for admission to the United States only because President Biden has an ‘open borders’ policy….,They and their right-wing media claque are saying that immigrants are clamoring for admission to U.S. only because President Biden has an ‘open borders’ policy….,1,1
