text_orig,text_loaded,label,preds
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter mockable movement grows , unoffensive companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter lunatic movement grows , embarrassed companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter islamophobic movement grows , woeful companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter peculiar movement grows , dutiful companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter consumeristic movement grows , vigilant companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter credulous movement grows , fallenness companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter sympathic movement grows , antireligious companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter boorish movement grows , reprehensible companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter unspontaneous movement grows , retrogressive companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter rightous movement grows , propagandistic companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows terribly , companies like Nike , Target , and Google have made overzealously Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows repulsively , companies like Nike , Target , and Google have made unsurprisingly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows admittedly , companies like Nike , Target , and Google have made sedulously Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows surprisingly , companies like Nike , Target , and Google have made repressively Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows surprisingly , companies like Nike , Target , and Google have made singularly Juneteenth a paid holiday .",1,0
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows stoically , companies like Nike , Target , and Google have made purposelessly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows uncritically , companies like Nike , Target , and Google have made schoolmasterly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows vexingly , companies like Nike , Target , and Google have made unwomanly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows vaguely , companies like Nike , Target , and Google have made distressingly Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows blithely , companies like Nike , Target , and Google have made degradingly Juneteenth a paid holiday .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The dutiful case of Rahaf Mohammed al - Qunun drawn new global odious attention to Saudi Arabia ’s strict social rules , including a requirement that dreadful women have the onerous permission of a male “ guardian ” to travel , which rights unreligious groups say can trap odious women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The censorious case of Rahaf Mohammed al - Qunun drawn new global unstatesmanlike attention to Saudi Arabia ’s strict social rules , including a requirement that sophistical women have the egoistical permission of a male “ guardian ” to travel , which rights mendacious groups say can trap unoffensive women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The unconservative case of Rahaf Mohammed al - Qunun drawn new global unislamic attention to Saudi Arabia ’s strict social rules , including a requirement that unreligious women have the tyrannical permission of a male “ guardian ” to travel , which rights cynical groups say can trap unpoetic women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The fallenness case of Rahaf Mohammed al - Qunun drawn new global unassimilable attention to Saudi Arabia ’s strict social rules , including a requirement that crassest women have the miserable permission of a male “ guardian ” to travel , which rights complicitous groups say can trap fallenness women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The delusory case of Rahaf Mohammed al - Qunun drawn new global hypocritcal attention to Saudi Arabia ’s strict social rules , including a requirement that indifferent women have the cravenness permission of a male “ guardian ” to travel , which rights contemptuous groups say can trap unuseful women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The unstrategic case of Rahaf Mohammed al - Qunun drawn new global immutable attention to Saudi Arabia ’s strict social rules , including a requirement that utter women have the oblivious permission of a male “ guardian ” to travel , which rights dutiful groups say can trap tyrannical women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The disengenuous case of Rahaf Mohammed al - Qunun drawn new global unpoetic attention to Saudi Arabia ’s strict social rules , including a requirement that clueless women have the troglodytic permission of a male “ guardian ” to travel , which rights insensitive groups say can trap unquotable women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The pathetic case of Rahaf Mohammed al - Qunun drawn new global demagogical attention to Saudi Arabia ’s strict social rules , including a requirement that sinful women have the dishonorable permission of a male “ guardian ” to travel , which rights impoliteness groups say can trap viler women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The nauseate case of Rahaf Mohammed al - Qunun drawn new global mad attention to Saudi Arabia ’s strict social rules , including a requirement that wary women have the puerile permission of a male “ guardian ” to travel , which rights unsayable groups say can trap intolerable women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The islamophobic case of Rahaf Mohammed al - Qunun drawn new global dismissive attention to Saudi Arabia ’s strict social rules , including a requirement that opprobrious women have the elide permission of a male “ guardian ” to travel , which rights corrupt groups say can trap irreligious women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn unmannerly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap indeed women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn disconcertingly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap nationalistically women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn boorishly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap intolerantly women and girls as prisoners of abusive families .",1,1
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn abidingly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap vaguely women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn saintly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap prissily women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn amorally new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap purposelessly women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn undeniably new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap weirdly women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn shockingly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap fuzzily women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn degradingly new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap pettiness women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn speciousness new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap confoundedly women and girls as prisoners of abusive families .",1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the uneccessary talks on payroll taxes were in the early stages and that refutable officials had not decided whether to push Congress to formally approve a cattiest reduction .,1,0
