,attribution,count
unnecessary,0.032505624067032605,2
slap,0.05145177189381495,1
claim,0.01854568056449749,11
alcohol,0.03177990367467822,1
reopen,-0.01989513879564678,1
Polls,-0.25934118884740825,1
especially,-0.09414218761510477,1
show,-0.13723395397575316,4
parent,0.08018128088800186,1
ideology,0.0801606950928257,1
t,-0.021347434815042147,7
need,0.04798923658895985,1
full,-0.018113255190353842,2
ceiling,0.043368559092450375,1
but,-0.005253485102027125,7
kill,0.03925874100094832,6
case,-0.06886249415075017,2
just,0.05611319689607108,4
Supreme,-0.1070657737609096,1
agrees,-0.10546527038311942,1
swipe,0.16582362222818275,1
worrier,0.10239560155232608,1
climate,-0.02499403518578225,8
Greta,0.04973144129532005,1
disaster,0.06027628811054412,3
deflect,0.08252007712507041,2
racism,0.12782850871088633,3
culture,0.038146505545941053,1
target,-0.029334483563324694,4
straw,0.031096045461961874,1
survive,0.019797840134847772,1
bolster,0.018857989994856522,1
choice,0.015774396652170394,3
abortion,0.07633146296933031,12
have,-0.03968010292700111,18
Obama,0.07789943918311865,2
taxpayer,0.08789444447986759,3
inflicts,0.07378603045731455,1
who,-0.04636101561260819,6
propose,-0.02870716267605056,3
Abortion,0.15097213420771943,1
life,0.03611311243222268,4
child,0.03450047830217328,4
preborn,0.06476046411946106,1
hurt,0.03446545320764536,2
selflessness,0.206354652561672,1
None,0.15014439930630566,1
his,-0.003619842089842777,8
challenged,-0.05373396654258236,2
counterpart,-0.09332734023190427,1
nationalism,0.046059479100569345,3
how,0.03520739465161527,5
so,0.08892198256502486,5
win,-0.0406036719491719,4
Fox,0.024841439480985685,3
nonsense,0.24888080733735343,2
sex,0.06918107005967576,4
course,0.05454990737361632,7
be,-0.013161849926783367,49
unalterable,0.035029568487061694,1
criminal,0.031067515523934795,2
remake,0.03350239882236814,1
would,0.028013954894684907,7
immunity,0.028218691201381266,1
explicit,0.026985578744884452,1
right,0.012706973480278605,13
and,-0.0892055509010108,25
only,0.05077295451547282,8
an,0.03387218383531061,4
immigrant,0.04721407861338755,2
company,-0.1402665379976849,2
on,-0.0880625748649786,16
line,0.025655058137275585,2
sign,-0.10138938000721584,2
assembly,0.07167747035271108,1
war,0.10684899236945637,2
desperately,0.089281094539529,1
American,0.06920838801673446,6
GOP,0.040395187079402595,2
a,-0.06584225924220986,30
dictator,0.23458889885841458,3
with,-0.042622233500591834,7
coronavirus,-0.12411740505653523,8
the,-0.06752027576022214,62
free,0.018614955481428715,2
dehumanize,0.029378361308211382,2
intimidate,0.0371906492578267,1
woman,0.0006074464888869355,10
endless,0.0704598622000991,4
News,0.031004871266815465,1
alternative,-0.21394270899119283,1
Prior,-0.19684323255041,1
gather,-0.18787206954539581,1
to,-0.06570429860452338,32
milquetoast,0.017370455065391532,1
unfit,0.009107251885258601,1
Board,0.008240972082481717,1
racist,0.0612673421667621,7
plain,0.008891682532306894,2
Bannon,0.07529048844479623,1
defiant,0.06861966973095174,1
rail,0.0011474428972816156,2
arm,0.03792668230292055,1
dangerous,0.02691517282160042,4
Some,0.016433124617598518,1
They,0.012812827372844268,2
mockery,0.019352701380981926,2
mock,0.02744225098837568,2
thwart,0.007478852758610178,1
junk,0.032199403613796855,2
seem,0.04639574224382386,2
can,-0.006091970820286438,3
of,-0.05266914731896263,32
like,0.041539209354312434,7
billionaire,0.16894049456499297,5
may,0.0018170846736061022,5
Fund,-0.09337204858638576,1
alter,-0.07193052663048202,1
shepherd,0.05729526733088115,1
Trump,0.06015016954698533,64
sucker,0.036627665241347626,1
wear,-0.00910912580121947,3
neighborhood,0.015505391897596726,1
aim,0.02667085588435159,1
stop,0.022607989777768976,1
movement,0.021011879300524016,1
hyper,0.013231559391141644,2
death,0.015264939589699583,4
effectively,0.09650365726356885,1
threaten,0.09111386097304419,1
deportation,0.06083232437144823,1
S,-0.12443920692047114,4
immoral,0.0102688906807819,1
you,0.03737508131625172,6
Before,0.008100110993350037,1
cast,0.007422795515765308,1
mostly,-0.1729029526137207,1
merely,0.15315119426933707,1
It,0.03914673589579589,3
march,-0.09263846248311151,1
condition,0.026676307476988015,1
service,0.02423178258164498,1
financial,0.021972224402914835,1
propaganda,0.07249882298704276,4
mislead,0.14221121572136317,3
bungling,0.06091837572060991,2
could,-0.0063021734907894545,3
much,0.03164850019933119,1
work,-0.15939850064995809,1
publish,0.053490715067261455,2
Hitler,0.1259993315083787,1
fetishise,0.20294760729740927,1
saviour,0.0897627650810981,1
bureaucracy,0.058435943996052536,2
health,-0.01765185438909299,4
during,-0.07829017944161543,4
scapegoat,0.04267910220806678,1
Wahhabism,0.0246816627151904,1
complex,0.019263924811556563,1
real,0.0021991510503755695,3
fact,0.01931513347255791,2
opposite,0.46659666177705666,1
Quite,0.15122043157041606,1
ignore,0.08263503688845307,2
mass,0.031693776476724604,1
differentiate,0.026421036412778785,1
tout,0.11646585950211479,2
radical,0.16733853022694054,8
acknowledge,-0.15446893698699202,1
non,0.07476890950461193,1
apocalyptic,0.25342969612287397,1
wildfire,-0.16171210167062536,1
thousand,-0.12357149163297987,1
southeastern,-0.0640807644222454,1
s,-0.011916551071785051,16
War,0.04430396437981896,1
Transgenderism,0.041836460501316,1
To,0.03574545154677865,1
Claims,-0.03902924127050108,2
then,0.04179568890490294,2
hat,0.00990697253844583,1
Oh,0.009024079839079536,1
income,-0.11819514436064005,2
prioritize,-0.12825462701365722,1
for,-0.033273244116962246,15
crazy,0.020642590619529087,1
Donald,0.01730715856413139,4
evil,0.2225732181913369,2
Cortez,-0.1008700974067858,1
wealth,0.07456558559767236,1
draw,-0.1164994821108282,2
issue,-0.14162363768445363,4
turn,-0.1169780192793679,3
House,-0.013586210402659768,3
when,-0.03635307909562068,3
spark,-0.19448507940979382,4
denounce,-0.12264373229148401,1
support,0.03147280806031408,3
wave,-0.07755652852677147,1
flag,-0.09263982120785884,2
secretly,0.1621181251103313,1
refugee,0.08653150793999342,1
powerful,0.053957532408739545,2
as,-0.07208636528037436,13
callous,0.02197882055658797,1
indifference,0.01999378168075254,1
Republican,0.0533029608433338,4
Party,0.036821845802859604,2
desperate,0.03938401806587716,2
watch,-0.17037669919899887,1
nervous,-0.16886268739812074,1
build,-0.10237851269421908,1
